,Portadas de Capitulos,,,,,
,Capitulo,Fecha de lanzamiento,Titulo Japones,Titulo Romanizado,Titulo Español,Arco
Tomo 1,1,19/07/1997,ROMANCE DAWN - 冒険の夜明け,Romansu Dōn - Bōken no Yoake,ROMANCE DAWN - El amanecer de una aventura,Romance Dawn
,2,28/07/1997,"その男""麦わらのルフィ""",Sono Otoko «Mugiwara no Rufi»,"Ese chico es, «Luffy Sombrero de Paja»",
,3,4/08/1997,"”海賊狩りのゾロ"" 登場",«Kaizoku-gari no Zoro» Tōjō,Aparece «el Cazador de Piratas Zoro»,
,4,11/08/1997,海軍大佐 ”斧手のモーガン”,Kaigun Taisa «Onote no Mōgan»,Capitán de la Marina «Mano de Hacha Morgan»,
,5,25/08/1997,海賊王と大剣豪,Kaizoku-Ō to Daikengō,El Rey de los Piratas y el Maestro Espadachín,
,6,1/09/1997,一人目,"Hitori-me",La primera persona,
,7,8/09/1997,友達,Tomodachi,Amigos,
,8,15/09/1997,"ナミ登場", Nami Tōjō,Introduciendo a Nami,
Tomo 2,9,22/09/1997,魔性の女,Mashō no Onna,La chica demonio,Ciudad Orange
,10,29/09/1997,酒場の一件,Sakaba no Ikken,El incidente en el bar,
,11,6/10/1997,敗走,Haisō,La huida,
,12,13/10/1997,犬,Inu,Perro,
,13,20/10/1997,宝物,Takaramono,Tesoro,
,14,27/10/1997,無謀っ!!,Mubō!!,¡¡Imprudente!!,
,15,1/11/1997,GONG,Gongu,Gong,
,16,10/11/1997,VERSUS!!バギー海賊団,Bāsasu!! Bagī Kaizokudan,¡¡Versus!! Los piratas de Buggy,
,17,17/11/1997,格,Kaku,Carácter,
Tomo 3,18,22/11/1997,海賊”道化のバギー”,"Kaizoku ""Dōke no Bagī""",El pirata «Buggy el Payaso»,
,19,1/12/1997,悪魔の実,Akuma no Mi,Fruta del diablo,
,20,8/12/1997,泥棒道,Dorobōdō,El camino del ladrón,
,21,22/12/1997,町,Machi,Ciudad,
